date,syn_distance_diff,upwater,cloud,rain,deep,pressure,dynamic
2022/4/4,0,2.664,2,0,9.4,29.8,1
2022/4/5,0.0006,2.82,2,0,8.6,27.3,1.414213562
2022/4/6,0.0012,2.684,2,0,8.6,26.8,1.414213562
2022/4/7,0.0014,2.626,1,0,8.3,26.4,1.414213562
2022/4/8,0.0038,2.767,2,0,8.3,26.3,1.414213562
2022/4/9,0.0035,2.601,2,0,8.3,26.2,1.414213562
2022/4/10,0.0018,3.858,2,0,8.3,26.3,1.414213562
2022/4/11,0.0021,2.865,1,0,8.3,26.2,1.414213562
2022/4/12,0.0035,2.935,2,0,8.3,26.3,1.414213562
2022/4/13,0.0032,2.627,2,0,8.6,26.2,1.414213562
2022/4/14,0.0034,2.663,3,0,8.3,25.9,1.414213562
2022/4/15,0.001,2.621,2,0,9.4,30.1,1.983147981
2022/4/16,0.0031,2.831,1,0,8.3,25.8,3.464101615
2022/4/17,0.0026,0.778,2,0,8.3,25.9,1.414213562
2022/4/18,0.001,0.678,2,0,8.3,26.2,1.414213562
2022/4/19,0.0023,0.669,2,0,8.3,26.6,1.414213562
2022/4/20,0.0017,0.676,1,0,8.6,26.8,1.414213562
2022/4/21,0.0027,0.694,2,0,9.1,26.9,1.619182314
2022/4/22,0.003,0.799,2,0,9.4,26.6,6.633249581
2022/4/23,0.0034,3.127,1,0.2,9.1,26.2,1.414213562
2022/4/24,0.0014,0.603,1,0.4,9.1,25.9,1.414213562
2022/4/25,0.005,4.39,2,0,8.6,25.9,1.414213562
2022/4/26,0.0073,2.767,1,0,10.2,30.4,1.414213562
2022/4/27,0.0018,0.678,3,0,8.3,25.8,1.414213562
2022/4/28,0.0036,0.578,3,0,8.6,25.8,1.414213562
2022/4/29,0.0013,0.6,2,0,10.2,30.6,1.414213562
2022/4/30,0.0033,0.635,2,0,10.2,30.5,1.414213562
2022/5/1,0.003,3.13,1,2.4,10.2,29.9,1
2022/5/2,0.0028,0.687,1,1.6,10.2,29.3,1.414213562
2022/5/3,0.0021,0.607,1,1.4,9.4,27.9,1
2022/5/4,0.0027,3.127,2,0.8,9.4,27,1.414213562
2022/5/5,0.0026,0.677,2,0,8.3,25.7,1
2022/5/6,0.0011,0.68,2,0,9.1,26.1,1.414213562
2022/5/7,0.0022,0.587,1,0,9.1,26.4,1.414213562
2022/5/8,0.003,0.625,1,0,9.4,26.8,1.414213562
2022/5/9,0.0042,3.13,2,0.2,9.4,26.7,1.414213562
2022/5/10,0.005,0.812,2,0.6,9.4,26.5,1.414213562
2022/5/11,0.0019,0.61,1,0.4,9.4,25.9,1
2022/5/12,0.0038,0.62,2,5,8.6,25.2,1.414213562
2022/5/13,0.0025,0.669,2,0.4,8.3,24.2,1.414213562
2022/5/14,0.0024,0.642,2,1.2,8.3,24.3,1.414213562
2022/5/15,0.0047,3.13,2,0.4,8.3,23.8,1.414213562
2022/5/16,0.0032,3.13,2,0,8.3,25.8,1.414213562
2022/5/17,0.002,0.644,2,0,8.3,23.9,1.414213562
2022/5/18,0.0021,0.274,1,0,7.5,24.2,1
2022/5/19,0.0022,0.637,2,1.8,7.5,23.7,1.414213562
2022/5/20,0.0013,0.366,2,0,7.5,23.9,1.414213562
2022/5/21,0.003,0.219,1,0,7.5,24,1.414213562
2022/5/22,0.0014,0.32,2,0.4,7.5,23.9,1.414213562
2022/5/23,0.0007,0.323,1,0,7.5,24,1.414213562
2022/5/24,0.0017,0.319,1,0.2,7.5,23.9,1.414213562
2022/5/25,0.0027,0.342,2,12.2,7.5,23.6,1.414213562
2022/5/26,0.0028,0.263,1,18.8,7.2,22.6,1.414213562
2022/5/27,0.0024,0.575,2,0.2,8.3,25.8,1
2022/5/28,0.0028,3.13,1,0.4,6.6,21.7,1.414213562
2022/5/29,0.0026,0.51,2,0.2,8.3,25.8,1.414213562
2022/5/30,0.0021,0.817,1,0,8.3,25.7,1.414213562
2022/5/31,0.0032,0.834,1,0,8.3,25.5,1.414213562
2022/6/1,0.0027,0.922,1,0,8.3,25.5,1
2022/6/2,0.002,0.567,1,0,8.3,25.6,1
2022/6/3,0.0019,0.612,1,0.2,8.3,25.9,1.414213562
2022/6/4,0.0011,0.576,1,0,5.5,20.7,1.414213562
2022/6/5,0.0006,0.572,1,0.2,3.9,17.5,1
2022/6/6,0.0026,0.658,2,0,3.6,17.5,1.414213562
2022/6/7,0.0027,3.123,2,0,3.1,17.5,1
2022/6/8,0.0025,0.764,2,0,3.1,17.5,1.414213562
2022/6/9,0.0032,3.131,2,0,3.1,17.5,1.414213562
2022/6/10,0.0016,0.67,2,0,3.1,17.5,1.414213562
2022/6/11,0.0009,0.155,2,1.2,2.8,17.1,1.414213562
2022/6/12,0.0021,0.196,1,0.2,2.8,17.3,1.414213562
2022/6/13,0.0008,0.635,2,0,2.8,17,1.414213562
2022/6/14,0.0018,3.121,1,0,2.8,16.8,1.414213562
2022/6/15,0.0017,0.555,2,0.6,5.5,19.6,1.414213562
2022/6/16,0.0005,0.673,2,0.4,2,16.6,1.414213562
2022/6/17,0.002,3.134,2,0,2,16.6,1
2022/6/18,0.0021,0.648,2,0,2,16.8,1.414213562
2022/6/19,0.002,3.125,1,0,2,16.8,1.414213562
2022/6/20,0.003,3.131,1,0,2,16.6,1
2022/6/21,0.0031,0.649,2,0,2,16.5,1.414213562
2022/6/22,0.0034,0.72,2,0,2,16.3,1.414213562
2022/6/23,0.0021,3.123,2,0,2,16.1,1
2022/6/24,0.0017,3.123,1,0.6,2,15.6,1
2022/6/25,0.0022,0.823,2,0.8,1.3,15.2,1
2022/6/26,0.0019,0.817,2,2.2,4.7,17.7,1.414213562
2022/6/27,0.0008,0.754,2,0.8,1.3,14.5,1.414213562
2022/6/28,0.0016,0.198,2,0,1.3,14.8,1.414213562
2022/6/29,0.0013,3.133,1,1,3.9,17.2,1.414213562
2022/6/30,0.0029,0.161,1,2.2,3.9,17,1.414213562
2022/7/1,0.0041,0.39,2,0,3.9,17.2,1.414213562
2022/7/2,0.0025,2.995,2,0.4,3.9,17.2,1.414213562
2022/7/3,0.0029,3.131,1,1.4,3.6,17.2,1.414213562
2022/7/4,0.0021,3.121,1,0.2,3.9,17.4,1.414213562
2022/7/5,0.0029,0.689,2,0.2,0.9,20.8,1.414213562
2022/7/6,0.003,0.713,2,0.2,0.9,21.2,1
2022/7/7,0.003,0.694,2,0,0.9,21.5,1.993618392
2022/7/8,0.0022,0.599,2,11.4,2.8,22.2,1
2022/7/9,0.0024,0.683,1,0,2.8,22.5,1
2022/7/10,0.0024,3.134,2,0,2.6,21.9,1
2022/7/11,0.0007,3.131,2,0,2,21.5,1
2022/7/12,0.0011,0.583,2,0,1.8,21,1.414213562
2022/7/13,0.0022,3.126,2,0,1.8,20.8,1
2022/7/14,0.0019,3.121,1,0,1.8,20.7,1.414213562
2022/7/15,0.0011,0.599,3,0,0.9,20.8,1
2022/7/16,0.0032,0.661,2,0,0.9,20.9,1.414213562
2022/7/17,0.003,3.131,1,0,1.8,21.2,1.52
2022/7/18,0.0037,0.181,1,0.6,2,21.5,6.19
2022/7/19,0.0018,0.2,2,0,2,21.8,3.38
2022/7/20,0.0032,0.399,1,13.2,2.8,22.7,1.67
2022/7/21,0.0027,0.096,2,0,2.8,23.4,2.8
2022/7/22,0.0015,0.417,2,0,2.8,23.3,4.24
2022/7/23,0.002,0.165,2,8.2,2.8,23.1,5.82
2022/7/24,0.0022,0.163,4,0,2.8,22.8,6.07
2022/7/25,0.0033,0.434,2,0,2.8,22.3,1.76
2022/7/26,0.003,0.436,1,11.2,0,18.7,3.88
2022/7/27,0.0016,3.131,2,0.2,0,19.3,5.95
2022/7/28,0.0011,0.61,1,0.2,0.9,19.8,3.88
2022/7/29,0.003,0.46,1,0,0.9,20.2,4.11
2022/7/30,0.0054,0.221,2,1.4,2.6,21.9,1
2022/7/31,0.006,1.22,1,0.2,2.8,23.3,2.05
2022/8/1,0.0032,3.3,1,0,2.8,23.3,4.88
2022/8/2,0.0027,2.36,2,0,2.8,23.2,2.32
2022/8/3,0.0021,3.99,2,0,2.8,23,1.76
2022/8/4,0.0008,0.76,1,0,2.8,23.2,1.38
2022/8/5,0.0006,4.05,3,0,2.8,22.8,2.86
2022/8/6,0.0011,0.42,4,0,2.8,22.6,1.72
2022/8/7,0.0015,1.03,2,0,2.8,22.5,4.52
2022/8/8,0.0016,1.48,2,0.4,2.8,22.6,5.04
2022/8/9,0.0022,0.87,2,0,2.8,22.7,1.67
2022/8/10,0.004,2.94,1,0,2,21.6,5.23
2022/8/11,0.0014,4.1,1,0,2.8,22.6,3.48
2022/8/12,0.0007,3.65,1,0,2.8,22.8,1.97
2022/8/13,0.0021,2.27,1,0,2.8,22.9,5.51
2022/8/14,0.0007,2.86,1,0,2.8,23.2,3.3
2022/8/15,0.002,2.96,1,0,2.8,23.4,5.92
2022/8/16,0.0031,3.78,3,2.4,3.6,23.6,4.21
2022/8/17,0.0028,1.07,1,0,3.6,24.1,4.44
2022/8/18,0.0021,4.35,2,0.2,3.6,24.4,2.56
2022/8/19,0.0005,3.48,1,0,3.9,24.6,3.23
2022/8/20,0.0009,4.01,2,0,4.7,24.5,4.1
2022/8/21,0.0011,0.22,1,6.6,2,21.6,2.27
2022/8/22,0.0018,1.75,1,0,4.7,25.2,5.05
2022/8/23,0.0032,2.09,2,0,4.7,25.4,6.15
2022/8/24,0.0025,0.14,3,0,2,21.9,2.16
2022/8/25,0.0037,1.47,2,0,2,22.1,3.49
2022/8/26,0.0038,3.76,2,0,2,22.5,3.45
2022/8/27,0.0004,3.56,2,0,2.8,22.9,5.29
2022/8/28,0.0014,1.16,1,0.4,2.8,23.3,2.62
2022/8/29,0.0023,3.54,2,0,2.8,23.4,3.18
2022/8/30,0.0014,1.45,1,0,4.7,25.6,5.53
2022/8/31,0.0015,3.75,2,0,4.7,27.1,2.15
2022/9/1,0.0024,3.56,1,0,4.7,27,1.7
2022/9/2,0.0025,4.07,1,0,4.7,26.6,2.5
2022/9/3,0.0012,3.39,2,0,4.7,26.7,2.59
2022/9/4,0.0019,0.15,1,0,4.7,26.5,2.41
2022/9/5,0.0017,3.71,2,0,4.7,26.6,2.85
2022/9/6,0.0008,3.73,1,1.2,4.7,26.9,1.16
2022/9/7,0.0019,2.86,1,4.2,4.7,27.1,2.1
2022/9/8,0.0018,1.95,1,0,5.5,27.5,3.83
2022/9/9,0.0007,2.2,3,4.8,5.5,27.5,2.46
2022/9/10,0.0037,1.9,2,20.6,4.7,25.8,3.02
2022/9/11,0.0009,1.8,1,0.6,5.5,27.9,5.77
2022/9/12,0.0023,1.01,2,0,6.3,28.2,5.17
2022/9/13,0.0012,4.18,1,16.8,6.3,28.5,3.95
2022/9/14,0.0022,1.08,3,13.4,5.5,28.3,1.37
2022/9/15,0.0029,1.21,0,0,6.3,28.3,6.62
2022/9/16,0.0027,0.86,1,0,6.3,28.6,5.75
2022/9/17,0.0025,3.96,2,0,6.3,28.6,1.4
2022/9/18,0.0023,3.54,1,0.2,5.5,28.7,2.52
2022/9/19,0.0025,0.66,3,0,5.5,28.9,5.31
2022/9/20,0.0039,3.71,3,3,6.3,29.1,2.77
2022/9/21,0.0069,2.41,3,3.4,4.7,25.9,2.1
2022/9/22,0.0033,0.56,2,4.4,6.3,29.2,2.42
2022/9/23,0.0053,3.31,2,0,4.7,26,1.41
2022/9/24,0.0046,3.49,4,0,5.5,26.7,5.05
2022/9/25,0.0052,2.19,2,0,5.5,27,1.15
2022/9/26,0.0044,2.88,1,0,4.7,26.7,3.61
2022/9/27,0.0026,4.36,2,0,4.7,26.7,5.75
2022/9/28,0.0017,4.16,1,0,4.7,26.9,5.41
2022/9/29,0.0012,1.35,2,0,5.5,29.1,3.15
2022/9/30,0.0021,2.76,2,0,6.6,30.3,3.52
2022/10/1,0.005,2.75,1,0,6.6,30.5,1.39
2022/10/2,0.0018,3.4,2,0,6.6,30.7,6.35
2022/10/3,0.0025,3.13,3,0,7.5,31,2.19
2022/10/4,0.0017,1.47,4,0,7.5,31.1,2.17
2022/10/5,0.0016,4.14,3,4.6,7.5,31.3,1.62
2022/10/6,0.0016,2.41,2,0,7.5,31.4,3.02
2022/10/7,0.0034,3.85,2,16.2,7.5,31.5,2.46
2022/10/8,0.0026,1.5,1,0,7.5,31.5,2.99
2022/10/9,0.0041,2.38,2,0,7.5,31.4,3.78
2022/10/10,0.0077,2.38,2,8,6.3,29.1,4.73
2022/10/11,0.007,3.11,1,0,7.5,31.4,1.65
2022/10/12,0.0082,2.68,3,0,7.5,31.2,4.94
2022/10/13,0.0108,1.67,2,0,7.5,31.2,4.24
2022/10/14,0.0126,1.46,2,5.6,7.5,31.1,6.13
2022/10/15,0.0133,2.29,3,0.4,7.5,31.1,3.66
2022/10/16,0.0053,3.83,2,0,7.5,31,4
2022/10/17,0.0015,1.81,2,0,7.5,31.1,5.52
2022/10/18,0.0019,4.18,3,0,7.5,30.9,6.49
2022/10/19,0.0013,0.88,1,0,7.5,30.8,6.18
2022/10/20,0.0024,3.52,2,17.8,7.5,31,5.05
2022/10/21,0.0033,4.37,2,0,6.3,29.3,5.63
2022/10/22,0.0028,0.31,3,0.6,8.3,31.3,4.9
2022/10/23,0.0052,0.24,2,1.4,7.5,31.3,1.9
